id1;lat;lng;google address
VIA  MONTE NAPOLEONE 20 
VIA  RISMONDO FRANCESCO 8 
VIA  GAGGIA PIETRO 1 
VIA  DELLA PALLA 2 
CSO  DI PORTA TICINESE 12 
VIA  DELLE FORZE ARMATE 312 
GLL  SAN BABILA 4 interno C
VIA  VISCONTI DI MODRONE UBERTO 12 
VIA  MEDEGHINO 9 
VLE  MONZA 258 
VIA  MONTE NAPOLEONE 27 
PZA OBERDAN GUGLIELMO 2 interno A
PLE  LORETO 5 
VLE  CERTOSA 177 
LGO  TREVES CLAUDIO 2 
VIA  QUINTILIANO MARCO FABIO 33 
VIA  DEGLI ZUCCARO 9 
VIA  DURINI 25 
VLE  UMBRIA 28 
VIA  DURINI 28 
VIA  CARETTA ANNIBALE 1 
VIA NOVARA 83 
VIA  DURINI 24 
CSO  ITALIA 40 
VIA  DURINI 23 
VIA  NOVARA 86 
VIA  SANTA TECLA 5 
VIA  LIPPI FILIPPINO 19 
PLE  CHIESA DAMIANO 2 
PZA  SANTA FRANCESCA ROMANA 3 
VIA  TAZZOLI ENRICO 11 
VIA CASATI FELICE 1 interno A
VLE  BIANCA MARIA 28 
VIA  DURINI 16 
RIP  DI PTA TICINESE 73 
VIA  ROSMINI ANTONIO 11 
VIA  CARLI GIAN RINALDO 9 
VIA  ARNALDO DA BRESCIA 4 
VIA  MICHELINO DA BESOZZO 14 
VIA  F.LLI LORENZETTI 4 
VIA  LOMAZZO PAOLO 41 
VIA  BECCARIA CESARE 5 
VIA  ARBE 47 
VIA  MAMBRETTI ANTONIO 29 
VLE  MONTE NERO 32 
VIA  LEOPARDI GIACOMO 7 
VIA  LEPONTINA 2 
VIA  MASSARA DE CAPITANI 15 
VLE  TROYA CARLO 18 
VIA  MARCO BRUTO 16 interno 18
VIA  DELLA SPIGA 2 
VIA  WASHINGTON GIORGIO 53 
VIA  AGNELLO 2 
VIA  AREZZO 7 interno 1
VIA  BISCEGLIE 92 
PZA  SANTA MARIA BELTRADE 2 
PZA  SANTA MARIA BELTRADE 1 
VIA  SCIESA AMATORE 21 
CSO  GENOVA 20 
VIA  BOSCOVICH RUGGERO 49 
VLE  MONZA 2 
VIA  VOLTRI 8 
VLE  DORIA ANDREA 17 
VIA  MEDA GIUSEPPE 27 
VIA  CORREGGIO 8 
VIA  KULISCIOFF ANNA 6 
CSO  DI PORTA ROMANA 132 
VLE  PIAVE 38 
VIA  BOSCOVICH RUGGERO 58 
CSO  GENOVA 16 
VIA  RUBENS PIETRO 8 
VIA  PASSARELLA 4 
VIA  MEDA GIUSEPPE 16 
CSO  GENOVA 19 
VLE  DORIA ANDREA 24 
VLE  ROMOLO 9 
VLE  LANCETTI VINCENZO 17 
VLE  TOSCANA 31 
VIA  MEDA GIUSEPPE 11 
VIA  MARTINI SIMONE 3 
VLE  PIAVE 27 
VIA  BENADIR 5 
VIA  MURATORI LODOVICO 13 
VIA  BAZZINI ANTONIO 33 
VIA  MAGGI CARLO MARIA 10 
VIA  SANDRI SANDRO 2 
VIA  BIGLI 2 
VIA  SPERONARI 8 
VIA  LOMELLINA 64 
VLE  LANCETTI VINCENZO 46 
VIA  GIOVANNI ANSALDO 7 
VIA BONCOMPAGNI CARLO 67 
VIA  OLTROCCHI BALDASSARE 11 
VIA  TOFFETTI VINCENZO 9 
VLE  CERTOSA 59 
VIA  SAN SENATORE 16 
CSO  LODI 130 
VIA  MURATORI LODOVICO 27 
VIA  TRAIANO MARCO ULPIO 79 
VIA  FELTRE 17 
PTA  PATTARI 4 
PIAZZA  GAE AULENTI 4 
PIAZZA  GAE AULENTI 6 
VIA  VALTELLINA 17 
VIA  MAZZINI GIUSEPPE 2 
VIA  VARANINI LUIGI 28 
VIA  PITAGORA 7 
VIA  DANTE ALIGHIERI 7 
PZA  BRUZZANO 5 
VIA  DELLA SPIGA 4 
VIA  PITAGORA 4 
VIA  BASSO LELIO 8 
VIA  CASARSA 9 
VIA  SCANINI ALESSANDRO 9 
VIA  ARIMONDI GIUSEPPE 55 
VIA  GESU' 2 interno A
VIA  NERVESA 30 
PLE  LORETO 16 
VIA  BOSCOVICH RUGGERO 18 
VIA  NOVARA 15 
VLE  PISA 10 
VIA  DEL DUCA CINO 12 
VIA  WITTGENS FERNANDA 5 
VIA  PIERO DELLA FRANCESCA 57 
VIA  MONCALIERI 15 
VIA  VASARI GIORGIO 2 
VIA FELTRE 38 
PZA  FRATTINI PIETRO 8 
VIA  FELTRE 30 
VIA  GAMBOLOITA 4 
VIA  MEDA GIUSEPPE 52 interno B
PZA  FRATTINI PIETRO 4 
CSO  SEMPIONE 43 
VLE  DI PORTA VERCELLINA 16 
VIA  SANTA MARIA VALLE 1 
VIA  FILZI FABIO 8 
VIA  PALAZZI LAZZARO 2 
CSO  SAN GOTTARDO 29 interno 31
VIA  SANTA MARIA VALLE 3 
VIA BOVISASCA 173 
VIA  MANZONI ALESSANDRO 7 
VIA  TOCE 11 
PZA  ANGILBERTO II 9 
CSO  VITTORIO EMANUELE II 9 
VIA  MAFFUCCI ANGIOLO 18 
VLE  GIOVANNI DA CERMENATE 27 
CSO  EUROPA 2 
CSO  SAN GOTTARDO 19 
VIA  FARA GUSTAVO 39 
VIA  VOLTERRA 12 
CSO  SAN GOTTARDO 11 
VIA  ALDINI ANTONIO 28 interno B
VIA  BASSI UGO 5 
VIA  FARA GUSTAVO 35 
VIA  STRIGELLI GAETANO 13 
VIA  IMPERIA 33 
PZA  DEL DUOMO 31 
VIA  BASSI UGO 1 interno B
VLE  MURILLO S.B. 5 
CSO  SEMPIONE 21 
VLE  STELVIO 47 
VIA  PARAVIA PIER ALESSANDRO 77 
VIA  TESSA DELIO 1 
VIA  PAULLO 11 
VIA  MODENA GUSTAVO 8 interno 10
VLE  MONZA 23 
VLE  MOLISE 56 
VIA  FARINI CARLO 47 
PZA  DEL DUOMO 25 
CSO GARIBALDI GIUSEPPE 97 interno 99
PZA  DEL DUOMO 21 
PZA  DEL DUOMO 20 
VIA  CHIOSTERGI GIUSEPPE 13 
VIA  DOMENICHINO 2 
VIA  PRINA GIUSEPPE 11 
PZA  OTTO NOVEMBRE 6 
VLE  MONZA 16 
VIA LEONCAVALLO RUGGERO 15 interno 17
VIA  DELL' ANNUNCIATA 2 
VIA  AMADEO GIAN ANTONIO 40 
PLE  SIENA 18 
VIA  LEONCAVALLO RUGGERO 17 
PZA  DIAZ ARMANDO 6 
LARGO  BALESTRA ANTONIO 3 
VIA  VILLAPIZZONE 12 
VLE  SUZZANI GIOVANNI 221 
VLE  MONTE CENERI 75 
VIA  PADOVA 15 
VLE  AFFORI 19 
VLE  GIOVANNI DA CERMENATE 62 
VIA  PALAZZOLO DON LUIGI 20 
VIA  SPINOZA BENEDETTO 4 
VIA  SAN MARCO 26 
CSO  VERCELLI 18 
CSO  VERCELLI 16 
VLE MONZA 65 interno 67
VIA PADOVA 22 
VIA  PADOVA 166 
VIA  GALLARATE 199 
CSO  SAN GOTTARDO 42 
VIA  MAFFUCCI ANGIOLO 40 
VLE  ABRUZZI 54 
CSO  VERCELLI 23 interno 25
CSO  VERCELLI 20 
CSO GARIBALDI GIUSEPPE 72 interno 1
VLE  ABRUZZI 51 
VIA  TORINO 2 
PLE  CANTORE ANTONIO 12 
VIA  APELLE 36 interno 38
CSO  SAN GOTTARDO 35 
VIA  SIRTORI GIUSEPPE 26 
VIA  PIER LOMBARDO 2 
VIA  LAMARMORA ALFONSO 21 
VIA  SAN SISTO 9 
VLE  MONZA 289 
VIA  LUDOVICO DI BREME 48 
VIA  OLONA 25 
VIA  HOEPLI ULRICO 5 
VIA CADUTI DI MARCINELLE 2 interno 1
VIA  HOEPLI ULRICO 3 
VIA  GONIN FRANCESCO 71 
VIA  NIEVO IPPOLITO 41 
VIA  MONTE NAPOLEONE 2 
VIA  MONTE NAPOLEONE 3 
VIA  SAN SISTO 3 
VIA  BERTANI AGOSTINO 2 
VIA  MONTE NAPOLEONE 6 interno A
VIA  MONTE NAPOLEONE 4 
VIA  AMMIANO MARCELLINO 14 
VIA  MONTE NAPOLEONE 5 
VIA  LEGNONE 3 
VIA  MONTE NAPOLEONE 8 
VIA  PASTORELLI GIOVANNI 19 
VIA  MELZO 7 
VIA  URUGUAY 6 
PZA  DEL LIBERTY 2 
VIA  MOLINO DELLE ARMI 49 
VIA  CAVALLOTTI FELICE 13 
VIA  OLONA 1 
VIA  SISMONDI GIANCARLO 35 
RIP  DI PTA TICINESE 47 
VIA  DELLA SPIGA 30 
PZA  DEL LIBERTY 4 
CSO  SEMPIONE 6 
VIA  COSTA ANDREA 1 
PZA  DEL LIBERTY 8 
VIA  CONCA DEL NAVIGLIO 37 
VIA  VICO GIAN BATTISTA 14 
VIA  VAL DI BONDO 15 
VIA  LUDOVICO DI BREME 25 
VIA  QUARENGHI GIACOMO 40 
VIA  ROSSI PELLEGRINO 80 
VIA  BERGAMO 10 
VIA  TRILUSSA 26 
VIA  TEODOSIO 55 
PLE  BAIAMONTI ANTONIO 4 
VIA  SPALLANZANI LAZZARO 5 
VIA  PADOVA 111 
VIA  GOZZI GASPARE 5 
VIA  F.LLI ANTONA TRAVERSI 18 
VIA  PANZERI PIETRO 10 
VLE  COL DI LANA 6 
VIA  SISMONDI GIANCARLO 70 
PZA  DELLA SCALA 5 
VIA  STAMIRA D'ANCONA 28 
VIA  SACCARDO PIETRO ANDREA 22 
VIA  GRASSI GIOVANNI BATTISTA 98 
VIA  ARONA 15 
VIA  VENINI GIULIO E CORRADO 87 
VIA  CUSANI 10 
